GEOID,NAME,totalE,totalM,nativeE,nativeM,foreign_bornE,foreign_bornM
"24510160500","Census Tract 1605, Baltimore city, Maryland",4318,564,4143,551,175,147
"24510151000","Census Tract 1510, Baltimore city, Maryland",4777,581,4604,599,173,121
"24510151200","Census Tract 1512, Baltimore city, Maryland",4820,513,4662,524,158,125
"24510160100","Census Tract 1601, Baltimore city, Maryland",2305,341,2202,351,103,109
"24510210200","Census Tract 2102, Baltimore city, Maryland",3134,375,2989,377,145,90
"24510240300","Census Tract 2403, Baltimore city, Maryland",1976,188,1813,197,163,73
"24510260203","Census Tract 2602.03, Baltimore city, Maryland",2764,287,2632,297,132,82
"24510260604","Census Tract 2606.04, Baltimore city, Maryland",1272,138,1085,128,187,72
"24510270200","Census Tract 2702, Baltimore city, Maryland",1809,212,1772,213,37,18
"24510040100","Census Tract 401, Baltimore city, Maryland",3503,460,2777,412,726,203
"24510040200","Census Tract 402, Baltimore city, Maryland",886,171,785,144,101,56
"24510060200","Census Tract 602, Baltimore city, Maryland",3315,546,3073,529,242,168
"24510090500","Census Tract 905, Baltimore city, Maryland",2166,341,2106,318,60,55
"24510090800","Census Tract 908, Baltimore city, Maryland",2962,416,2834,414,128,96
"24510120100","Census Tract 1201, Baltimore city, Maryland",4582,359,3585,390,997,257
"24510150701","Census Tract 1507.01, Baltimore city, Maryland",1395,221,1395,221,0,12
"24510150300","Census Tract 1503, Baltimore city, Maryland",2086,329,2010,341,76,80
"24510150702","Census Tract 1507.02, Baltimore city, Maryland",2083,376,2081,377,2,4
"24510151100","Census Tract 1511, Baltimore city, Maryland",6982,808,6740,831,242,238
"24510151300","Census Tract 1513, Baltimore city, Maryland",4775,648,4374,614,401,222
"24005401503","Census Tract 4015.03, Baltimore County, Maryland",6771,296,6294,299,477,172
"24005403602","Census Tract 4036.02, Baltimore County, Maryland",5654,457,4511,504,1143,374
"24005441000","Census Tract 4410, Baltimore County, Maryland",3671,497,3528,488,143,99
"24005452500","Census Tract 4525, Baltimore County, Maryland",3633,310,3498,325,135,128
"24005490605","Census Tract 4906.05, Baltimore County, Maryland",5007,334,4768,328,239,88
"24005451803","Census Tract 4518.03, Baltimore County, Maryland",4192,400,4096,384,96,75
"24005430900","Census Tract 4309, Baltimore County, Maryland",5648,518,4047,591,1601,378
"24005452300","Census Tract 4523, Baltimore County, Maryland",2921,298,2539,219,382,216
"24005491600","Census Tract 4916, Baltimore County, Maryland",2907,379,2675,388,232,173
