GEOID,NAME,totalE,totalM,nativeE,nativeM,foreign_bornE,foreign_bornM
"24005410200","Census Tract 4102, Baltimore County, Maryland",4930,178,4603,199,327,126
"24005404600","Census Tract 4046, Baltimore County, Maryland",2596,273,2437,263,159,95
"24005404900","Census Tract 4049, Baltimore County, Maryland",4649,242,3942,266,707,177
"24005411408","Census Tract 4114.08, Baltimore County, Maryland",3221,199,2709,255,512,209
"24005420302","Census Tract 4203.02, Baltimore County, Maryland",2559,207,2400,227,159,130
"24005400701","Census Tract 4007.01, Baltimore County, Maryland",3023,255,2618,310,405,183
"24005401101","Census Tract 4011.01, Baltimore County, Maryland",6791,659,6053,563,738,472
"24005401200","Census Tract 4012, Baltimore County, Maryland",3122,331,2854,321,268,159
"24005401302","Census Tract 4013.02, Baltimore County, Maryland",2605,258,2331,285,274,159
"24510260302","Census Tract 2603.02, Baltimore city, Maryland",6424,674,6112,753,312,235
"24510260700","Census Tract 2607, Baltimore city, Maryland",2413,324,1751,263,662,189
"24510260900","Census Tract 2609, Baltimore city, Maryland",2834,268,2635,267,199,139
"24510261000","Census Tract 2610, Baltimore city, Maryland",3215,658,2374,381,841,483
"24510270101","Census Tract 2701.01, Baltimore city, Maryland",1752,243,1627,253,125,69
"24510271900","Census Tract 2719, Baltimore city, Maryland",4088,435,3578,419,510,235
"24510272003","Census Tract 2720.03, Baltimore city, Maryland",6182,713,5639,712,543,241
"24005404201","Census Tract 4042.01, Baltimore County, Maryland",6578,604,4752,469,1826,475
"24005402505","Census Tract 4025.05, Baltimore County, Maryland",3415,466,2985,392,430,245
"24005402604","Census Tract 4026.04, Baltimore County, Maryland",5855,600,5188,555,667,299
"24005403601","Census Tract 4036.01, Baltimore County, Maryland",4616,223,3401,255,1215,248
"24005404502","Census Tract 4045.02, Baltimore County, Maryland",4076,533,3069,297,1007,483
"24005404800","Census Tract 4048, Baltimore County, Maryland",2012,110,1834,119,178,62
"24005406000","Census Tract 4060, Baltimore County, Maryland",5520,374,5341,381,179,101
"24005408800","Census Tract 4088, Baltimore County, Maryland",2444,180,2127,158,317,158
"24005410100","Census Tract 4101, Baltimore County, Maryland",5389,292,5144,311,245,133
"24005421000","Census Tract 4210, Baltimore County, Maryland",1761,172,1659,173,102,73
"24005430101","Census Tract 4301.01, Baltimore County, Maryland",4565,547,3208,452,1357,393
"24510010300","Census Tract 103, Baltimore city, Maryland",2554,283,2227,248,327,184
"24510080301","Census Tract 803.01, Baltimore city, Maryland",1617,185,1589,188,28,27
"24510110100","Census Tract 1101, Baltimore city, Maryland",3213,422,2789,415,424,143
"24510090300","Census Tract 903, Baltimore city, Maryland",3965,425,3589,432,376,179
"24510100300","Census Tract 1003, Baltimore city, Maryland",4832,663,4707,655,125,55
"24510120400","Census Tract 1204, Baltimore city, Maryland",1671,217,1551,208,120,60
"24510130600","Census Tract 1306, Baltimore city, Maryland",3960,316,3694,365,266,125
"24510130804","Census Tract 1308.04, Baltimore city, Maryland",1891,143,1803,154,88,54
"24510160200","Census Tract 1602, Baltimore city, Maryland",2505,301,2505,301,0,12
"24510160400","Census Tract 1604, Baltimore city, Maryland",3025,497,3020,497,5,7
"24510160700","Census Tract 1607, Baltimore city, Maryland",4069,587,3986,588,83,82
"24510170200","Census Tract 1702, Baltimore city, Maryland",3228,461,3168,460,60,67
"24510180100","Census Tract 1801, Baltimore city, Maryland",2113,246,2096,244,17,22
"24510180300","Census Tract 1803, Baltimore city, Maryland",1723,259,1509,235,214,94
"24510200100","Census Tract 2001, Baltimore city, Maryland",1643,237,1643,237,0,12
"24510160300","Census Tract 1603, Baltimore city, Maryland",1431,223,1404,234,27,31
"24510120700","Census Tract 1207, Baltimore city, Maryland",2679,334,2386,316,293,202
"24510130400","Census Tract 1304, Baltimore city, Maryland",2394,255,2367,255,27,29
"24510130700","Census Tract 1307, Baltimore city, Maryland",4883,363,4463,396,420,176
"24510140300","Census Tract 1403, Baltimore city, Maryland",2602,376,2546,366,56,55
"24510170100","Census Tract 1701, Baltimore city, Maryland",1524,195,1438,205,86,47
"24510180200","Census Tract 1802, Baltimore city, Maryland",1080,201,1047,199,33,37
"24005420500","Census Tract 4205, Baltimore County, Maryland",3259,327,2844,304,415,145
"24005420701","Census Tract 4207.01, Baltimore County, Maryland",3435,475,3059,478,376,248
"24005420702","Census Tract 4207.02, Baltimore County, Maryland",2008,245,1849,252,159,129
"24005421300","Census Tract 4213, Baltimore County, Maryland",2812,365,2578,360,234,175
"24005430200","Census Tract 4302, Baltimore County, Maryland",2891,264,2683,265,208,115
"24005440701","Census Tract 4407.01, Baltimore County, Maryland",6837,656,5373,514,1464,654
"24005440702","Census Tract 4407.02, Baltimore County, Maryland",4912,556,4123,478,789,239
"24005450200","Census Tract 4502, Baltimore County, Maryland",3272,265,3198,275,74,50
"24005450504","Census Tract 4505.04, Baltimore County, Maryland",5156,732,4518,665,638,294
"24005402303","Census Tract 4023.03, Baltimore County, Maryland",6712,586,5972,578,740,378
"24005402306","Census Tract 4023.06, Baltimore County, Maryland",3991,317,3067,315,924,243
"24005402506","Census Tract 4025.06, Baltimore County, Maryland",4263,392,3896,387,367,167
"24005403801","Census Tract 4038.01, Baltimore County, Maryland",1661,149,1412,158,249,75
"24005420800","Census Tract 4208, Baltimore County, Maryland",3527,313,3374,317,153,117
"24005430400","Census Tract 4304, Baltimore County, Maryland",4612,434,4165,346,447,459
"24005430600","Census Tract 4306, Baltimore County, Maryland",2415,160,2267,147,148,59
"24005450300","Census Tract 4503, Baltimore County, Maryland",3236,290,3145,268,91,71
"24005451701","Census Tract 4517.01, Baltimore County, Maryland",3214,243,2942,249,272,138
"24005451801","Census Tract 4518.01, Baltimore County, Maryland",5490,446,5392,453,98,64
"24005490100","Census Tract 4901, Baltimore County, Maryland",3979,239,3794,225,185,67
"24005490200","Census Tract 4902, Baltimore County, Maryland",2840,166,2542,196,298,100
"24005491100","Census Tract 4911, Baltimore County, Maryland",4125,354,3452,357,673,235
"24005491202","Census Tract 4912.02, Baltimore County, Maryland",1843,107,1682,104,161,92
"24005491701","Census Tract 4917.01, Baltimore County, Maryland",3831,361,3340,342,491,141
"24005400100","Census Tract 4001, Baltimore County, Maryland",4465,398,4037,396,428,105
"24005402201","Census Tract 4022.01, Baltimore County, Maryland",3745,414,3540,385,205,183
"24005408100","Census Tract 4081, Baltimore County, Maryland",6083,435,5497,431,586,201
"24005411303","Census Tract 4113.03, Baltimore County, Maryland",5701,603,5081,554,620,295
"24510260403","Census Tract 2604.03, Baltimore city, Maryland",1660,188,1615,193,45,49
"24510230200","Census Tract 2302, Baltimore city, Maryland",2141,280,2052,267,89,64
"24510260102","Census Tract 2601.02, Baltimore city, Maryland",5029,386,4665,399,364,217
"24510260303","Census Tract 2603.03, Baltimore city, Maryland",834,162,811,161,23,19
"24005420402","Census Tract 4204.02, Baltimore County, Maryland",2081,228,2017,222,64,46
"24005452100","Census Tract 4521, Baltimore County, Maryland",3450,209,3352,200,98,140
"24005400500","Census Tract 4005, Baltimore County, Maryland",2568,114,2500,115,68,39
"24005402202","Census Tract 4022.02, Baltimore County, Maryland",1562,154,1451,134,111,69
"24005403802","Census Tract 4038.02, Baltimore County, Maryland",2852,177,2701,190,151,76
"24005408702","Census Tract 4087.02, Baltimore County, Maryland",2399,141,2303,156,96,52
"24005440100","Census Tract 4401, Baltimore County, Maryland",4595,280,4093,304,502,206
